wykryte;nienaprawialne;niewykryte;bledy
6185;600;19;6204
6111;547;17;6128
6148;623;20;6168
6166;595;22;6188
6199;556;11;6210
6166;580;20;6186
6018;573;16;6034
6149;588;16;6165
6222;526;18;6240
6155;530;13;6168
6209;548;20;6229
6186;546;13;6199
6132;563;16;6148
6278;542;16;6294
6048;554;21;6069
6100;571;18;6118
6146;589;8;6154
6190;601;25;6215
6081;593;26;6107
6206;563;21;6227
6032;592;20;6052
6093;564;16;6109
6051;559;19;6070
6203;573;22;6225
6183;579;19;6202
6176;528;20;6196
6166;584;23;6189
6200;549;14;6214
6164;579;23;6187
6249;585;9;6258
6169;557;14;6183
6172;575;28;6200
6150;577;15;6165
6163;575;24;6187
6093;574;18;6111
6108;604;20;6128
6102;513;14;6116
6177;542;20;6197
6246;570;19;6265
6136;573;11;6147
6108;502;17;6125
6120;586;10;6130
6184;532;18;6202
6065;590;18;6083
6212;600;12;6224
5998;614;20;6018
6178;550;16;6194
6177;535;15;6192
6182;568;12;6194
6126;569;20;6146
6210;541;18;6228
6069;601;23;6092
6167;572;23;6190
6152;545;27;6179
6139;575;30;6169
5969;524;17;5986
6202;594;25;6227
6068;558;18;6086
6142;567;17;6159
6140;568;21;6161
6201;559;18;6219
6141;569;12;6153
5969;530;17;5986
6143;577;18;6161
6198;567;14;6212
6127;550;12;6139
6126;571;16;6142
6086;583;20;6106
6089;595;19;6108
6075;563;21;6096
6024;549;25;6049
6147;580;25;6172
6114;531;26;6140
6147;543;18;6165
6073;576;25;6098
6183;569;16;6199
6092;574;17;6109
6088;579;19;6107
6111;570;17;6128
6081;572;19;6100
6206;566;17;6223
6095;579;16;6111
6135;558;16;6151
6128;616;12;6140
6097;572;14;6111
6188;523;18;6206
6234;581;14;6248
6150;572;24;6174
6126;589;16;6142
6329;616;24;6353
6181;549;19;6200
6066;576;21;6087
6160;560;13;6173
6175;608;14;6189
6179;610;21;6200
6253;544;17;6270
6068;550;19;6087
6028;563;20;6048
6256;584;18;6274
6131;543;18;6149
6117;577;19;6136
6064;517;19;6083
6132;589;19;6151
6064;584;23;6087
6095;564;14;6109
6147;548;14;6161
6140;560;21;6161
6195;617;22;6217
6091;586;21;6112
6146;591;20;6166
6252;611;24;6276
6090;578;11;6101
6185;598;11;6196
6237;655;11;6248
6130;578;22;6152
6238;563;24;6262
6198;583;12;6210
6189;565;15;6204
6176;560;16;6192
6058;565;18;6076
6171;563;13;6184
6125;586;19;6144
6171;532;14;6185
6268;544;22;6290
6179;548;15;6194
6181;559;13;6194
6130;566;13;6143
6184;578;19;6203
6147;564;17;6164
6175;548;13;6188
6122;619;19;6141
6159;585;25;6184
6175;557;26;6201
6172;567;18;6190
6132;594;19;6151
6146;583;15;6161
6118;557;9;6127
6246;553;14;6260
6173;605;17;6190
6232;597;14;6246
6107;550;16;6123
6126;599;15;6141
6121;568;17;6138
6149;600;25;6174
6143;597;17;6160
6096;569;14;6110
6089;614;18;6107
6151;522;15;6166
6082;586;21;6103
6239;590;18;6257
6164;563;13;6177
6141;563;22;6163
6153;573;26;6179
6156;566;11;6167
6175;535;16;6191
6151;559;14;6165
6114;557;14;6128
6129;613;26;6155
6086;538;13;6099
6088;535;18;6106
6044;527;13;6057
6099;539;12;6111
6117;615;12;6129
6170;563;21;6191
6103;589;27;6130
6264;573;21;6285
6198;544;15;6213
6189;546;16;6205
6123;548;19;6142
6101;575;17;6118
6272;607;17;6289
6132;586;19;6151
6144;642;20;6164
6163;555;17;6180
6090;573;16;6106
6086;564;19;6105
6084;557;19;6103
6098;535;10;6108
6019;592;19;6038
6062;547;29;6091
6041;585;17;6058
6051;530;20;6071
6178;564;18;6196
6182;583;14;6196
6087;569;19;6106
6124;570;13;6137
6247;571;20;6267
6202;652;21;6223
6130;552;12;6142
6089;560;17;6106
6201;595;21;6222
6046;533;20;6066
6211;554;11;6222
6000;586;16;6016
6101;603;24;6125
6150;540;22;6172
6146;557;21;6167
6093;552;19;6112
6122;581;15;6137
6216;587;13;6229
6107;586;20;6127
6191;576;15;6206
6144;567;23;6167
6066;554;20;6086
6177;577;20;6197
6137;548;14;6151
6127;569;23;6150
6053;568;12;6065
6094;619;16;6110
6105;556;20;6125
6189;554;22;6211
6062;595;14;6076
6191;628;25;6216
6183;524;18;6201
6117;552;14;6131
6148;554;13;6161
6085;582;30;6115
6122;527;7;6129
6172;564;16;6188
6319;577;18;6337
6056;578;20;6076
6093;572;17;6110
6099;589;17;6116
6135;581;17;6152
6194;633;23;6217
6278;539;16;6294
6163;579;15;6178
6013;540;21;6034
6057;580;20;6077
6131;563;19;6150
6130;559;26;6156
6101;527;18;6119
6103;587;24;6127
6103;579;20;6123
6217;561;9;6226
6227;576;18;6245
6225;596;26;6251
6107;591;18;6125
6135;597;17;6152
6082;572;18;6100
6138;556;15;6153
6181;559;16;6197
6332;611;16;6348
6130;568;24;6154
6053;547;16;6069
6196;606;17;6213
6168;590;17;6185
6112;561;14;6126
6311;564;22;6333
6145;527;23;6168
6155;561;20;6175
