wykryte;nienaprawialne;niewykryte;bledy
749;11;0;749
777;10;0;777
772;4;0;772
751;5;0;751
792;5;0;792
798;11;0;798
723;9;0;723
687;11;0;687
746;10;0;746
789;3;0;789
732;4;0;732
726;3;0;726
756;5;0;756
748;12;0;748
750;6;1;751
730;3;0;730
715;7;0;715
744;8;0;744
744;6;0;744
733;8;0;733
713;4;0;713
714;7;0;714
771;8;0;771
737;4;0;737
728;5;0;728
715;6;0;715
757;10;0;757
722;6;0;722
707;9;0;707
745;4;0;745
795;12;0;795
752;6;0;752
733;11;0;733
689;11;0;689
769;9;0;769
771;4;0;771
729;10;0;729
756;11;0;756
785;5;0;785
710;6;0;710
737;11;0;737
740;9;0;740
721;7;0;721
769;8;0;769
759;9;0;759
728;6;0;728
756;10;0;756
767;4;0;767
729;5;0;729
760;10;0;760
674;11;0;674
776;5;0;776
712;10;0;712
761;6;0;761
766;6;0;766
750;7;0;750
772;5;0;772
767;10;0;767
733;6;0;733
700;12;0;700
790;9;0;790
718;8;0;718
754;2;0;754
719;10;0;719
752;13;0;752
724;10;0;724
774;12;0;774
734;6;0;734
764;6;0;764
783;11;0;783
743;11;0;743
766;8;0;766
765;4;0;765
720;3;0;720
730;11;0;730
787;8;0;787
723;6;0;723
743;5;0;743
722;4;0;722
733;8;0;733
668;4;0;668
701;2;0;701
714;3;0;714
739;8;0;739
740;4;0;740
833;14;0;833
714;12;0;714
752;6;0;752
750;6;0;750
728;7;0;728
752;9;0;752
730;9;0;730
775;10;0;775
715;9;0;715
749;13;0;749
814;8;0;814
740;10;0;740
782;7;0;782
703;6;0;703
717;6;0;717
732;5;0;732
723;7;0;723
747;6;0;747
752;8;0;752
731;9;0;731
722;4;0;722
745;3;0;745
731;3;0;731
767;8;0;767
761;5;0;761
711;8;0;711
741;14;0;741
795;7;0;795
735;6;0;735
779;6;0;779
777;7;0;777
746;9;0;746
748;4;0;748
717;11;0;717
745;12;0;745
695;10;0;695
754;11;0;754
775;5;0;775
712;6;0;712
769;11;0;769
738;7;1;739
748;8;0;748
705;6;0;705
752;7;0;752
746;9;0;746
733;8;0;733
747;1;0;747
726;5;0;726
735;8;0;735
742;8;0;742
766;10;0;766
754;9;0;754
758;4;0;758
750;3;0;750
735;10;0;735
722;10;0;722
747;9;0;747
711;8;0;711
805;9;0;805
760;10;0;760
743;12;0;743
789;5;0;789
741;5;0;741
751;12;0;751
727;5;0;727
762;15;0;762
730;9;0;730
740;5;0;740
724;4;0;724
688;8;0;688
744;3;0;744
712;6;0;712
767;5;0;767
745;4;0;745
707;10;0;707
763;6;0;763
740;8;0;740
744;6;0;744
725;8;0;725
800;7;0;800
725;7;0;725
749;4;0;749
723;4;0;723
698;4;0;698
790;5;0;790
780;7;0;780
731;8;0;731
727;2;0;727
703;7;0;703
771;11;0;771
758;9;0;758
751;8;0;751
725;11;0;725
704;6;0;704
711;8;0;711
723;11;0;723
759;6;0;759
730;5;0;730
742;9;0;742
718;7;0;718
761;10;0;761
747;6;0;747
711;8;0;711
712;9;0;712
740;11;0;740
748;8;0;748
749;11;0;749
716;5;0;716
705;15;0;705
770;4;0;770
752;5;0;752
746;4;0;746
709;7;0;709
725;6;0;725
728;11;0;728
767;8;0;767
813;5;0;813
749;4;0;749
711;9;0;711
751;9;0;751
731;3;0;731
705;9;0;705
728;10;0;728
765;10;0;765
688;11;0;688
712;8;0;712
767;3;0;767
762;7;0;762
779;10;0;779
753;9;0;753
713;7;0;713
712;8;0;712
772;7;0;772
773;14;1;774
756;6;0;756
728;5;0;728
765;5;0;765
771;7;0;771
702;9;0;702
700;6;0;700
718;11;0;718
712;6;0;712
781;7;0;781
710;6;0;710
717;6;0;717
771;8;0;771
723;7;0;723
768;4;0;768
680;10;1;681
742;9;0;742
729;6;0;729
778;8;0;778
714;5;0;714
747;10;0;747
733;5;0;733
711;10;0;711
730;4;0;730
722;7;0;722
719;10;0;719
734;10;0;734
750;13;0;750
759;5;0;759
719;10;0;719
747;6;0;747
717;9;0;717
733;7;0;733
743;8;0;743
725;14;0;725
719;10;0;719
758;6;0;758
708;7;0;708
716;6;0;716
752;9;0;752
787;6;0;787
763;8;0;763
763;12;0;763
