;wykryte;nienaprawialne;niewykryte;bledy
264;6090;573;17;6107
265;6114;596;25;6139
266;6131;533;15;6146
267;6041;550;14;6055
268;6168;592;22;6190
269;6059;574;15;6074
270;6075;571;18;6093
271;6127;584;16;6143
272;6143;597;15;6158
273;6236;606;10;6246
274;6147;551;12;6159
275;6114;575;11;6125
276;6138;547;14;6152
277;6022;548;13;6035
278;6029;546;21;6050
279;6181;577;23;6204
280;6267;595;12;6279
281;6107;534;23;6130
282;6149;571;11;6160
283;6095;553;17;6112
284;6191;567;21;6212
285;6141;597;17;6158
286;6263;594;17;6280
287;6130;581;12;6142
288;6199;584;25;6224
289;6076;590;13;6089
290;6186;562;19;6205
291;6089;540;17;6106
292;5979;500;25;6004
293;6107;584;17;6124
294;6083;560;19;6102
295;6226;551;21;6247
296;6143;572;21;6164
297;6134;571;10;6144
298;6240;552;16;6256
299;6084;586;20;6104
300;6327;579;18;6345
301;5915;518;14;5929
302;5968;579;15;5983
303;6093;586;15;6108
304;6157;533;23;6180
305;6176;587;20;6196
306;6163;565;20;6183
307;6072;535;21;6093
308;6051;585;12;6063
309;6041;551;20;6061
310;6169;573;18;6187
311;6170;589;17;6187
312;6038;523;15;6053
313;6202;557;17;6219
314;6054;511;20;6074
315;6043;565;23;6066
316;6112;540;25;6137
317;6185;600;19;6204
318;6111;547;17;6128
319;6148;623;20;6168
320;6166;595;22;6188
321;6199;556;11;6210
322;6166;580;20;6186
323;6018;573;16;6034
324;6149;588;16;6165
325;6222;526;18;6240
326;6155;530;13;6168
327;6209;548;20;6229
328;6186;546;13;6199
329;6132;563;16;6148
330;6278;542;16;6294
331;6048;554;21;6069
332;6100;571;18;6118
333;6146;589;8;6154
334;6190;601;25;6215
335;6081;593;26;6107
336;6206;563;21;6227
337;6032;592;20;6052
338;6093;564;16;6109
339;6051;559;19;6070
340;6203;573;22;6225
341;6183;579;19;6202
342;6176;528;20;6196
343;6166;584;23;6189
344;6200;549;14;6214
345;6164;579;23;6187
346;6249;585;9;6258
347;6169;557;14;6183
348;6172;575;28;6200
349;6150;577;15;6165
350;6163;575;24;6187
351;6093;574;18;6111
352;6108;604;20;6128
353;6102;513;14;6116
354;6177;542;20;6197
355;6246;570;19;6265
356;6136;573;11;6147
357;6108;502;17;6125
358;6120;586;10;6130
359;6184;532;18;6202
360;6065;590;18;6083
361;6212;600;12;6224
362;5998;614;20;6018
363;6178;550;16;6194
364;6177;535;15;6192
365;6182;568;12;6194
366;6126;569;20;6146
367;6210;541;18;6228
368;6069;601;23;6092
369;6167;572;23;6190
370;6152;545;27;6179
371;6139;575;30;6169
372;5969;524;17;5986
373;6202;594;25;6227
374;6068;558;18;6086
375;6142;567;17;6159
376;6140;568;21;6161
377;6201;559;18;6219
378;6141;569;12;6153
379;5969;530;17;5986
380;6143;577;18;6161
381;6198;567;14;6212
382;6127;550;12;6139
383;6126;571;16;6142
384;6086;583;20;6106
385;6089;595;19;6108
386;6075;563;21;6096
387;6024;549;25;6049
388;6147;580;25;6172
389;6114;531;26;6140
390;6147;543;18;6165
391;6073;576;25;6098
392;6183;569;16;6199
393;6092;574;17;6109
394;6088;579;19;6107
395;6111;570;17;6128
396;6081;572;19;6100
397;6206;566;17;6223
398;6095;579;16;6111
399;6135;558;16;6151
400;6128;616;12;6140
401;6097;572;14;6111
