wykryte;nienaprawione;niewykryte;bledy
728;33;1;729
724;35;1;725
712;31;0;712
704;35;0;704
749;32;0;749
774;40;1;775
725;35;1;726
706;37;0;706
696;41;0;696
708;41;1;709
